ParamID,pK,MeanBC,VarBC,BCmetric
1,0.02,0.6844451166191519,7.751951547454526e-4,882.9326556406304
2,0.03,0.7034369417709688,0.0018015125259841468,390.4701919220289
3,0.04,0.7091772845199033,0.0023260175111824654,304.88905655718065
4,0.05,0.6909847271778861,0.0013716578750670803,503.758801475254
5,0.06,0.6914332962888525,6.632173690646514e-4,1042.5440112703843
6,0.07,0.6915179650182102,0.001705786487865853,405.39538209344335
7,0.08,0.6993075595729934,4.106663716616454e-4,1702.860540402768
8,0.09,0.6969651852943408,3.9071580960594004e-4,1783.8161859825211
9,0.1,0.6896921956872916,5.73055231254273e-4,1203.535293060199
10,0.11,0.6989148432973368,0.00106141080203183,658.4772285710894
11,0.12,0.6814310948399667,0.002117968884741466,321.73801029336033
12,0.13,0.6909806630718889,0.0018983676468981175,363.9867462980277
13,0.14,0.689123228557523,0.0021113986724068737,326.3823348775539
14,0.15,0.6855665116273629,0.0016440873273570705,416.9891101401747
15,0.16,0.6914540716959607,0.001423749654809958,485.6570601158502
16,0.17,0.7013751666179144,0.0010735505713560085,653.3228944510765
17,0.18,0.7059933811992153,0.0014172722718553562,498.13532319728296
18,0.19,0.7001133643539056,7.051010505249365e-4,992.9262817473925
19,0.2,0.7016855719119086,0.0011298352562128528,621.0512267637328
20,0.21,0.7091000346624683,0.0010112098284325865,701.2392628358846
21,0.22,0.710543389553612,7.965524091702904e-4,892.0234015659213
22,0.23,0.7089524488487841,9.505564867331196e-4,745.8288473579489
23,0.24,0.713058982344007,9.514652631502288e-4,749.4324910855107
24,0.25,0.715239054036657,5.306986157191336e-4,1347.7311469287672
25,0.26,0.7178997875103474,6.516297328873525e-4,1101.6989423262721
26,0.27,0.716850794221028,6.493948356547954e-4,1103.8751078120533
27,0.28,0.7200020914340202,0.0010593743915064031,679.6483822968344
28,0.29,0.7189950165510621,0.0011751946994151545,611.8092745898837
29,0.3,0.7098971251893609,0.001142004938047746,621.6235162721168
