ParamID,pK,MeanBC,VarBC,BCmetric
1,0.01,0.691685136499172,0.0013877043997503771,498.4383825716727
2,0.02,0.6919066489069985,5.703973286730795e-5,12130.257526215755
3,0.03,0.6922435517541997,4.0959475263728013e-4,1690.0693851593883
4,0.04,0.6968365674993866,4.355340760243408e-4,1599.9587767282815
5,0.05,0.6935338033509365,0.0012691096618400834,546.4727156401765
6,0.06,0.6882105100984944,0.0019039383873764876,361.46679675218223
7,0.07,0.6985861279467639,0.0018785204537437288,371.8810335839262
8,0.08,0.6910455477315536,0.0017318459705580355,399.0225224873115
9,0.09,0.6832223770222206,0.0020068131476566257,340.4514156288171
10,0.1,0.6813874364472516,9.311716364579195e-4,731.7527830198726
11,0.11,0.6787470470582271,4.880147652069406e-4,1390.833014592104
12,0.12,0.6815941489801913,1.888125715388894e-4,3609.898130325525
13,0.13,0.6725638951400127,1.5954084647572822e-4,4215.62195511062
14,0.14,0.673067402167671,5.5052760713370464e-5,12225.861036687404
15,0.15,0.6838206881004326,4.102642359006082e-4,1666.7811333817967
16,0.16,0.6883079977544215,5.880341930555256e-4,1170.5237652556498
17,0.17,0.691979672799075,6.466311961601758e-4,1070.130357007499
18,0.18,0.6864462625605872,6.656046217053816e-4,1031.312343958499
19,0.19,0.6734466297646796,5.285012930288865e-4,1274.2572982274062
20,0.2,0.6791777556345945,8.158816258800393e-4,832.4464408694201
21,0.21,0.6751130321767311,4.2723412694537e-4,1580.1945340922102
22,0.22,0.674557883803527,2.259240253610208e-4,2985.773127606065
23,0.23,0.6819480935179913,4.3020122805702125e-4,1585.1839768053896
24,0.24,0.685610442335077,1.847478851216213e-4,3711.0597606231486
25,0.25,0.6891692825019825,3.0838028671615296e-4,2234.803300304098
26,0.26,0.6776703512505328,2.4344844440335608e-4,2783.6298272982135
27,0.27,0.678708670407415,2.5484420904250005e-4,2663.2297157446005
28,0.28,0.671682417665078,4.890317332265695e-4,1373.4945444816071
29,0.29,0.6574940657453096,6.830072860924356e-4,962.6457566901078
30,0.3,0.6495326459664367,0.0013035762055201314,498.26979290962964
